               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12362,            0.044922,                   0,                   0,                   0,                   0,                   0,             0.10821,             0.05887,                   0,                 0.1,                   0,                   0
                   1,             0.12017,            0.046806,                   0,                   0,                   0,                   0,                   0,             0.10825,            0.058797,                   0,              0.0991,          9.9505e-05,          9.9505e-05
                   2,             0.11779,            0.050781,                   0,                   0,                   0,                   0,                   0,             0.10815,            0.058853,                   0,            0.098198,          0.00019802,          0.00019802
                   3,             0.12151,            0.044603,                   0,                   0,                   0,                   0,                   0,             0.10806,            0.058897,                   0,            0.097296,          0.00029554,          0.00029554
                   4,             0.12228,            0.045796,                   0,                   0,                   0,                   0,                   0,             0.10795,            0.058968,                   0,            0.096392,          0.00039208,          0.00039208
                   5,              0.1192,            0.037604,                   0,                   0,                   0,                   0,                   0,             0.10795,            0.058968,                   0,            0.095488,          0.00048762,          0.00048762
                   6,             0.11968,            0.049227,                   0,                   0,                   0,                   0,                   0,             0.10781,            0.059046,                   0,            0.094582,          0.00058218,          0.00058218
                   7,             0.11856,            0.055506,                   0,                   0,                   0,                   0,                   0,             0.10781,            0.059046,                   0,            0.093676,          0.00067574,          0.00067574
                   8,              0.1152,             0.05225,                   0,                   0,                   0,                   0,                   0,             0.10766,            0.059135,                   0,            0.092768,          0.00076832,          0.00076832
                   9,             0.11414,            0.046787,                   0,                   0,                   0,                   0,                   0,             0.10766,            0.059135,                   0,             0.09186,          0.00085991,          0.00085991
                  10,             0.11555,            0.034856,                   0,                   0,                   0,                   0,                   0,             0.10751,             0.05922,                   0,            0.090951,           0.0009505,           0.0009505
                  11,             0.11908,            0.043905,                   0,                   0,                   0,                   0,                   0,             0.10751,             0.05922,                   0,             0.09004,           0.0010401,           0.0010401
                  12,             0.12136,             0.04751,                   0,                   0,                   0,                   0,                   0,             0.10737,            0.059305,                   0,            0.089129,           0.0011287,           0.0011287
                  13,             0.11906,            0.043337,                   0,                   0,                   0,                   0,                   0,             0.10737,            0.059305,                   0,            0.088216,           0.0012163,           0.0012163
